95,39337
98,36709
96,24125
99,23157
97,20017
90,18170
94,14090
100,10469
84,8083
87,7663
93,6399
91,5974
101,5834
92,5444
88,5038
89,2924
85,2799
80,2248
8,1591
104,1191
103,1075
6,1013
9,954
102,901
79,818
7,781
10,658
11,657
74,620
5,540
86,540
0,524
66,487
105,414
69,397
120,396
83,388
106,375
4,332
76,327
81,321
71,316
125,275
13,237
68,234
111,223
60,218
12,215
109,215
30,207
35,199
2,178
43,173
3,160
110,151
133,147
124,138
82,132
114,132
1,131
115,129
40,125
140,124
20,122
116,122
50,119
16,118
38,118
52,118
57,118
48,116
63,114
67,113
62,112
126,112
128,111
19,110
113,110
165,110
73,109
132,108
108,106
54,103
21,98
112,98
42,97
72,97
14,96
75,96
130,95
25,94
36,93
34,91
70,89
177,88
65,87
170,87
56,83
138,82
24,79
51,79
107,78
156,75
39,73
17,70
26,70
55,70
15,68
18,64
173,60
129,58
22,54
122,52
145,46
179,46
77,38
23,37
141,37
45,34
150,34
135,33
127,29
174,25
32,23
160,23
142,19
163,18
169,18
175,16
146,15
178,15
46,13
58,13
164,12
118,11
136,11
37,10
53,9
131,9
49,8
123,6
134,6
176,6
44,4
28,3
33,1
41,1
153,1
172,1
